encoding,char,error-message
a449,儿,BadArguments
a471,尢,BadArguments
a47b,廾,BadArguments
a4be,冗,BadArguments
a55e,匆,BadArguments
a57b,叻,BadArguments
a5c2,氐,BadArguments
a5f9,伋,BadArguments
a654,吋,BadArguments
a65b,吆,BadArguments
a6cd,糸,BadArguments
a760,呎,BadArguments
a776,听,BadArguments
a777,囪,BadArguments
a7b1,妤,BadArguments
a841,杗,BadArguments
a851,汨,BadArguments
a85d,沘,BadArguments
a86e,盯,BadArguments
a8a8,豕,BadArguments
a8bc,釆,BadArguments
a8da,侖,BadArguments
a8de,佺,BadArguments
a95c,坼,BadArguments
a972,姅,BadArguments
a9fb,昀,BadArguments
aa55,枓,BadArguments
aa58,杲,BadArguments
aa7c,泜,BadArguments
aa7d,泖,BadArguments
aab3,玟,BadArguments
aab5,玥,BadArguments
aab6,甽,BadArguments
aae7,芰,BadArguments
aaf5,邶,BadArguments
aba7,咩,BadArguments
abd4,帟,BadArguments
ac45,挂,BadArguments
ac53,昤,BadArguments
aca9,洸,BadArguments
accf,疢,BadArguments
ad48,胄,BadArguments
ad64,苓,BadArguments
ada8,郃,BadArguments
ae4b,堉,BadArguments
ae5e,屘,BadArguments
ae72,崁,BadArguments
ae73,峴,BadArguments
aeb8,捂,BadArguments
aeba,捏,BadArguments
aec2,捍,BadArguments
aecf,晅,BadArguments
aeeb,栘,BadArguments
af40,浬,BadArguments
af47,涊,BadArguments
af59,玆,BadArguments
af6f,皋,BadArguments
afa3,砠,BadArguments
b069,迺,BadArguments
b0c0,偯,BadArguments
b0d4,啪,BadArguments
b151,屝,BadArguments
b15c,崤,BadArguments
b1ae,戛,BadArguments
b1d6,敔,BadArguments
b1f7,梔,BadArguments
b1f9,梨,BadArguments
b1fb,梡,BadArguments
b1fc,梂,BadArguments
b26b,焊,BadArguments
b26d,烯,BadArguments
b270,犁,BadArguments
b274,猓,BadArguments
b278,琊,BadArguments
b27c,琍,BadArguments
b2c8,笮,BadArguments
b2e8,脰,BadArguments
b2e9,脤,BadArguments
b340,莆,BadArguments
b348,蚵,BadArguments
b34f,袞,BadArguments
b360,訢,BadArguments
b3aa,釭,BadArguments
b3ed,喱,BadArguments
b3ee,啾,BadArguments
b3fa,堝,BadArguments
b45c,廄,BadArguments
b4ae,揹,BadArguments
