a,ba,pa,ma,fa,da,ta,na,la,ga,ka,ha,,,,zha,cha,sha,,za,ca,sa
o,bo,po,mo,fo,,,,,,,,,,,,,,,,,
e,,,me,,de,te,ne,le,ge,ke,he,,,,zhe,che,she,re,ze,ce,se
,,,,,,,,,,,,,,,,,,,,,
er,,,,,,,,,,,,,,,,,,,,,
ai,bai,pai,mai,,dai,tai,nai,lai,gai,kai,hai,,,,zhai,chai,shai,,zai,cai,sai
ei,bei,pei,mei,fei,dei,,nei,lei,gei,,hei,,,,zhei,,,,zei,,
ao,bao,pao,mao,,dao,tao,nao,lao,gao,kao,hao,,,,zhao,chao,shao,rao,zao,cao,sao
ou,,pou,mou,fou,dou,tou,nou,lou,gou,kou,hou,,,,zhou,chou,shou,rou,zou,cou,sou
an,ban,pan,man,fan,dan,tan,nan,lan,gan,kan,han,,,,zhan,chan,shan,ran,zan,can,san
en,ben,pen,men,fen,,,nen,,gen,ken,hen,,,,zhen,chen,shen,ren,zen,cen,sen
ang,bang,pang,mang,fang,dang,tang,nang,lang,gang,kang,hang,,,,zhang,chang,shang,rang,zang,cang,sang
,beng,peng,meng,feng,deng,teng,neng,leng,geng,keng,heng,,,,zheng,cheng,sheng,reng,zeng,ceng,seng
,,,,,dong,tong,nong,long,gong,kong,hong,,,,zhong,chong,,rong,zong,cong,song
yi,bi,pi,mi,,di,ti,ni,li,,,,ji,qi,xi,zhi,chi,shi,ri,zi,ci,si
ya,,,,,,,,lia,,,,jia,qia,xia,,,,,,,
yao,biao,piao,miao,,diao,tiao,niao,liao,,,,jiao,qiao,xiao,,,,,,,
ye,bie,pie,mie,,die,tie,nie,lie,,,,jie,qie,xie,,,,,,,
you,,,miu,,diu,,niu,liu,,,,jiu,qiu,xiu,,,,,,,
yan,bian,pian,mian,,dian,tian,nian,lian,,,,jian,qian,xian,,,,,,,
yin,bin,pin,min,,,,nin,lin,,,,jin,qin,xin,,,,,,,
yang,,,,,,,niang,liang,,,,jiang,qiang,xiang,,,,,,,
ying,bing,ping,ming,,ding,ting,ning,ling,,,,jing,qing,xing,,,,,,,
yong,,,,,,,,,,,,jiong,qiong,xiong,,,,,,,
wu,bu,pu,mu,fu,du,tu,nu,lu,gu,ku,hu,,,,zhu,chu,shu,ru,zu,cu,su
wa,,,,,,,,,gua,kua,hua,,,,zhua,chua,shua,,,,
wo,,,,,duo,tuo,nuo,luo,guo,kuo,huo,,,,zhuo,chuo,shuo,ruo,zuo,cuo,suo
wai,,,,,,,,,guai,kuai,huai,,,,zhuai,chuai,shuai,,,,
wei,,,,,dui,tui,,,gui,kui,hui,,,,zhui,chui,shui,rui,zui,cui,sui
wan,,,,,duan,tuan,nuan,luan,guan,kuan,huan,,,,zhuan,chuan,shuan,ruan,zuan,cuan,suan
wen,,,,,dun,tun,nun,lun,gun,kun,hun,,,,zhun,chun,shun,run,zun,cun,sun
wang,,,,,,,,,guang,kuang,huang,,,,zhuang,chuang,shuang,,,,
weng,,,,,,,,,,,,,,,,,,,,,
yU,,,,,,,nU,lU,,,,jU,qU,xU,,,,,,,
yUe,,,,,,,nUe,lUe,,,,jUe,qUe,xUe,,,,,,,
yUan,,,,,,,,,,,,jUan,qUan,xUan,,,,,,,
yUn,,,,,,,,,,,,jUn,qUn,xUn,,,,,,,
